id,lexical_diversity,Twitter for iPhone,Twitter for Andriod,Twitter for iPad,Twitter for Web Client,Twitter for Websites,Twitter for Web App,Other,location,account_age,tweets,following,followers,likes_given,verified,sentiment_neg,sentiment_neu,sentiment_pos,hashtag_count,mentions_count,likes_received,retweets_count,url_count,label
35637710,0.522417154,0.79,0,0,0,0,0.21,0,1,3943,7867,643,433,5601,0,0.02498,0.91726,0.05778,25,117,103,1,33,0
887998063,0.022894042,0,1,0,0,0,0,0,1,2673,60953,3754,3758,53941,0,0.09856,0.74761,0.15387,22,124,34,12,59,0
4096069693,0.055921053,1,0,0,0,0,0,0,0,1563,3004,880,890,4530,0,0,1,0,40,31,292,26,10,0
2459378088,1,0.99,0,0.01,0,0,0,0,1,2120,48237,417,2594360,72593,1,0,0.98336,0.01664,15,12,615648,29880,16,0
2184009647,0.050966608,0,1,0,0,0,0,0,1,2277,8028,1776,681,10073,0,0.030456522,0.914782609,0.05476087,51,28,19,59,2,0
1360465604,0.373617021,0,0.66,0,0,0,0.34,0,1,2491,6629,4634,4417,7032,0,0.05591,0.80773,0.13638,14,109,1359,303,52,0
4611389296,0.02873624,1,0,0,0,0,0,0,1,1508,2502,203,211,2264,0,0.02364,0.95369,0.02267,80,37,1217,1056,47,0
1521770148,0.872727273,0.98,0,0,0,0,0,0.02,0,2431,6625,939,1399,11877,0,0,0.98621,0.01379,2,47,857,58,13,0
815647194,0.748201439,0,0.99,0,0,0,0,0.01,1,2710,33032,657,1097,153,0,0.0101,0.97582,0.01408,12,193,125,77,25,0
358233640,0.044375,0.99,0,0,0,0,0,0.01,1,3098,37869,1087,794,14976,0,0.08732,0.82752,0.08516,0,4,32,2,87,0
904994826,0.039671021,0,0.81,0,0,0,0,0.19,1,2665,11758,2148,993,422,0,0.00343,0.99173,0.00484,65,16,74,323,21,0
181510940,0.057971014,0,0.93,0,0,0,0.07,0,1,3460,106773,1098,2194,61534,0,0,1,0,0,76,173,7,2,0
75473335,0.494186047,1,0,0,0,0,0,0,1,3798,9466,69,275,1774,0,0.08405,0.76772,0.14823,21,13,14,3,16,0
598813483,0.022851734,0,1,0,0,0,0,0,0,2809,35187,1614,895,43661,0,0.0507,0.75032,0.199,45,71,126,8,22,0
968196446,0.068907563,1,0,0,0,0,0,0,0,2634,14159,271,144,7443,0,0.0290625,0.654125,0.3168125,16,11,3,0,1,0
2890342662,0.032982873,0,1,0,0,0,0,0,1,1924,30013,779,621,11882,0,0.04741,0.8486,0.10399,4,100,30,6,10,0
1135877646,0.549792531,0.99,0,0,0,0,0,0.01,1,2567,272753,18370,86554,66200,0,0.05681,0.86932,0.07386,10,55,1376,224,38,0
1704716070,0.050831793,0.99,0,0,0,0,0,0.01,1,2359,2034,465,138,4562,0,0.04296,0.89093,0.06611,9,49,82,1,24,0
399830372,0.034143996,0.99,0,0,0,0,0,0.01,1,3028,5893,474,824,23865,0,0.07386,0.80738,0.11876,26,6,133,12,11,0
2310724598,0.034980856,1,0,0,0,0,0,0,0,2208,27156,124742,142851,17,0,0,1,0,16,38,851,461,51,0
588216931,0.340549542,0,0.32,0,0.03,0,0.65,0,1,2820,8741,108,154,58328,0,0.07329,0.81801,0.10866,43,126,632,279,93,0
4655510439,0.04155992,0.99,0,0,0.01,0,0,0,1,1503,7342,443,196,6518,0,0.06091,0.84702,0.09206,7,109,54,10,18,0
3119392109,0.03142378,1,0,0,0,0,0,0,1,1782,19480,1524,1324,2504,0,0.01877,0.95105,0.03018,15,77,116,22,6,0
3258575329,0.586956522,0,0,0,0,0,0,1,0,1689,2188,3940,14526,0,0,0,1,0,0,0,39,5,94,0
2720186326,0.451204056,1,0,0,0,0,0,0,1,2031,42284,803,1408,20093,0,0.11896,0.73633,0.14473,0,55,123,18,33,0
1250078874,0.496947497,0.52,0,0,0.08,0,0.4,0,1,2532,3516,13289,16881,17351,1,0.07784,0.73082,0.19133,45,124,3483,740,38,0
1388299412,0.063276836,0,0,0,0,0,0,1,1,2480,16268,1512,920,1021,0,0.01704,0.98296,0,0,0,0,0,100,0
2923284826,0.538374718,0,0,0,0,0,0.96,0.04,0,1884,6772,665,817,13828,0,0.02263,0.81036,0.16701,23,104,104,18,63,0
151595281,0.484902309,0,0,0,0,0,0,1,1,3540,64372,602,227670,1370,1,0.05265,0.88206,0.06531,0,9,1840,388,101,0
2959147470,0.531697342,1,0,0,0,0,0,0,1,1863,6779,5,784,580,0,0.0603,0.833,0.10669,3,117,26,9,7,0
1644129194,0.749023438,1,0,0,0,0,0,0,1,2382,72561,494,78865,177,0,0.00458,0.95018,0.04524,14,50,68,34,26,0
19478383,0.45471878,0.01,0,0,0,0,0.94,0.05,1,4034,133118,456,838050,110983,1,0.01567,0.74069,0.24364,115,38,1223,569,78,0
205561923,0.539548023,1,0,0,0,0,0,0,1,3400,85639,827,70977,15935,0,0.13857,0.79279,0.06865,1,14,3426,1557,34,0
548768095,0.053373426,0.79,0,0,0,0,0,0.21,0,2865,12740,81592,95222,46,0,0,1,0,18,46,126,469,28,0
3550084640,0.352713178,1,0,0,0,0,0,0,1,1612,56,2451,22978,12,0,0.108345455,0.779763636,0.111909091,0,0,39737,32533,22,0
1420308074,0.048587571,0,0.81,0,0.08,0,0.02,0.09,0,2467,16545,637,908,6569,0,0,0.9938,0.0062,95,21,87,13,59,0
993363480,0.034695451,1,0,0,0,0,0,0,1,2623,39041,45773,112572,38,0,0,1,0,66,1,1696,1854,62,0
1655904638,0.03338301,1,0,0,0,0,0,0,1,2378,74429,187,762,120581,0,0.153454545,0.689151515,0.167484848,0,40,73,16,20,0
597878828,0.48696219,0.49,0,0,0,0,0,0.51,1,2810,17406,84543,86041,388,0,0,1,0,69,0,69,87,39,0
4155011358,0.723625557,1,0,0,0,0,0,0,0,1557,14169,261,924,9635,0,0.01252,0.98311,0.00437,0,12,41,21,23,0
3019691246,1,1,0,0,0,0,0,0,1,1823,11055,89122,82463,66991,0,0,1,0,3,80,537,11,3,0
29648562,0.449227373,1,0,0,0,0,0,0,1,3962,73975,3163,3719,22867,0,0.07813,0.77408,0.14783,10,100,237,15,20,0
20821622,0.109602328,0,0.95,0,0,0,0,0.05,1,4015,924,744,349,2337,0,0.04503,0.86069,0.09428,55,56,133,22,71,0
203420499,0.556650246,0,0.15,0,0.46,0,0,0.39,0,3405,65922,0,99569,456,1,0,1,0,241,12,759,236,43,0
18469490,0.327843137,0.08,0,0,0,0,0.67,0.25,1,4060,22077,269,141449,17264,1,0.00502,0.761,0.234,4,79,38666,3040,82,0
3020960979,0.048284625,0,0.97,0,0,0,0.03,0,1,1832,1350,96,11,8408,0,0.0641,0.79546,0.14042,8,118,200,3,31,0
134547013,0.031368821,0.99,0,0,0,0,0.01,0,1,3586,83367,683,882,31823,0,0.06937,0.79772,0.13289,8,50,206,15,39,0
501337024,0.03016316,1,0,0,0,0,0,0,1,2910,27419,696,1321,4316,0,0.17353,0.74161,0.08489,1,5,6,3,10,0
338163791,0.060846561,1,0,0,0,0,0,0,1,3129,35977,4350,138703,29715,0,0,1.01010101,0,2,19,6058,874,56,0
2685951655,0.278008299,0.05,0.54,0,0,0,0,0.41,1,2025,32659,33,305872,143,0,0.00201,0.99638,0.00161,199,98,133093,50317,67,0
1566174187,0.025709924,0.89,0,0.02,0.08,0,0.01,0,1,2414,62697,288,75991,8788,0,0.1165,0.7448,0.13868,3,25,479,95,39,0
3273557347,1,1,0,0,0,0,0,0,1,1678,7738,59,459,3058,0,0,1,0,0,46,54,3,0,0
605460099,0.534615385,0,1,0,0,0,0,0,0,2801,59782,895,250138,1338,0,0.00417,0.98188,0.01395,9,122,1061,1916,30,0
3424568709,0.401149425,0.98,0,0,0,0,0.02,0,1,1641,923,958,475,2760,0,0.01619,0.81367,0.17014,190,12,101,4,54,0
533790045,0.464847849,1,0,0,0,0,0,0,1,2882,5939,708,7048,9284,0,0.06092,0.78979,0.14927,88,61,4614,181,52,0
630459182,0.035209315,0,1,0,0,0,0,0,0,2773,5268,1204,581,3830,0,0.002666667,1.00489899,0.002535354,0,124,395,216,52,0
726969781,0.816976127,1,0,0,0,0,0,0,1,2752,47973,462,95954,402,0,0.00334,0.96709,0.02957,8,104,66,6,2,0
391826877,0.703038674,0.02,0,0,0,0,0,0.98,1,3040,8195,953497,1163939,619,0,0.00434,0.99566,0,17,74,302,192,11,0
773465515,0.042071555,0,0.3,0,0,0,0.69,0.01,0,2729,49581,190,682,699,0,0.06486,0.83502,0.10013,1,28,2,2,21,0
2363684405,0.034388761,0,1,0,0,0,0,0,1,2177,123015,99,419,18867,0,0.0698,0.80778,0.12243,0,84,63,1,10,0
338630187,0.453422053,0,0.87,0.02,0.02,0,0,0.09,0,3129,1406,580,131,538,0,0.06134,0.84012,0.09855,77,14,115,4,29,0
123572520,0.044161677,0.86,0.14,0,0,0,0,0,1,3619,46523,973,1725,19416,0,0,1,0,26,28,416,163,50,0
26839828,0.545845272,0.98,0,0,0,0,0.02,0,1,3974,8358,1591,658,10668,0,0.03206,0.88588,0.08207,15,59,156,4,33,0
15593696,0.469446441,0.23,0,0,0.04,0,0.11,0.62,1,4218,147940,2080,235452,8215,1,0.09052,0.82454,0.0849,53,10,473,239,99,0
337741447,0.620481928,0.14,0,0,0,0,0,0.86,1,3130,16339,264,119917,3,0,0.06907,0.76937,0.16155,4,0,6138,2226,5,0
40256981,0.49122807,0.05,0,0.94,0,0,0,0.01,1,3925,57891,4026,971,14255,0,0.03172,0.81129,0.15699,72,73,50,6,6,0
346146611,0.792576419,1,0,0,0,0,0,0,1,3117,91978,473,76473,2594,0,0.0125,0.93184,0.05566,2,41,11,19,12,0
930937674,0.501157407,0,0.98,0,0,0,0.02,0,1,2653,2250,115,54,11380,0,0.0692,0.85926,0.07155,3,138,109,1,35,0
520250204,0.745762712,1,0,0,0,0,0,0,0,2894,3785,299,87166,131,0,0.01046,0.97198,0.01756,5,33,1225,1586,7,0
374294966,0.451410658,0.98,0,0,0,0,0,0.02,1,3070,7004,475,326800,161,1,0.04437,0.71626,0.23936,16,79,52365,4450,58,0
2824164481,0.031454061,0,0.55,0,0.32,0,0.13,0,1,1969,5797,336,214,15645,0,0.03736,0.8014,0.16123,80,46,211,5,41,0
2173727640,0.581780538,0.95,0,0,0,0,0,0.05,0,2290,48254,1600,3256,73140,0,0.09989,0.76955,0.13055,2,36,330,51,42,0
83291674,0.399538106,0,0,0,0,0,0,1,1,3768,14526,251,150062,296,0,0.08226,0.85389,0.0639,50,20,732,368,101,0
80628196,0.390567428,0.01,0,0,0,0,0,0.99,0,3779,57838,1286,133132,4541,1,0.04752,0.82007,0.13242,28,48,852,327,84,0
83166727,0.372727273,0.46,0,0,0,0,0.47,0.07,1,3769,3150,45,992917,728,1,0.01737,0.83287,0.14975,29,60,74798,9168,70,0
95064543,0.396327467,0,0,0,0,0,0.61,0.39,1,3719,44280,1148,160168,1492,1,0.04903,0.89451,0.05644,34,57,4222,1712,99,0
288452305,0.528720627,1,0,0,0,0,0,0,1,3213,24547,1683,1078508,1597,1,0.03822,0.8494,0.11236,5,55,9542,971,69,0
227942485,0.506297229,1,0,0,0,0,0,0,1,3342,71987,132490,132703,2313,0,0.07752,0.76858,0.15389,4,21,2074,977,5,0
273159476,0.507380074,0,0.76,0,0,0,0.24,0,1,3243,2025,108,83,6710,0,0.05932,0.88482,0.05585,15,132,97,4,21,0
2771019938,0.335714286,0,0,0,0.615384615,0,0.384615385,0,0,1995,15,24,4,10,0,0.104538462,0.760461538,0.135,0,28,8,0,7,0
2340955790,0.593073593,0,1,0,0,0,0,0,1,2190,89157,249,1014,38319,0,0.02111,0.92402,0.05488,1,60,71,21,24,0
3800348718,0.966804979,1,0,0,0,0,0,0,0,1589,16166,3634,2207,7966,0,0,1,0,16,34,223,4,6,0
175524309,0.544715447,0.99,0,0,0.01,0,0,0,1,3476,687,50397,83519,767,0,0.04223,0.82525,0.13253,8,30,1892,1026,7,0
467646256,0.037236869,1,0,0,0,0,0,0,1,2946,48410,23716,109684,195,0,0,1,0,31,0,219,232,65,0
3011737321,0.533070089,1,0,0,0,0,0,0,1,1831,9510,1504,157523,2207,1,0,0.98473,0.01527,58,72,363,4272,40,0
2282284649,0.667035398,1,0,0,0,0,0,0,0,2219,18457,98443,105950,589,0,0,0.99714,0.00286,7,15,337,154,3,0
419328316,0.622362869,0.8,0.2,0,0,0,0,0,1,3002,13143,16,585931,442,1,0.00412,0.98012,0.01576,100,59,2007,1715,64,0
80413939,0.015452539,0.23,0,0,0,0,0,0.77,1,3780,101706,127383,185852,106867,0,0.00811,0.94846,0.04343,0,4,211,130,166,0
3002673243,0.034100597,1,0,0,0,0,0,0,1,1840,134148,869,2423,69007,0,0.01226,0.95393,0.03381,0,29,141,60,25,0
62721001,0.393457944,0.27,0,0,0.02,0,0.13,0.58,1,3844,16794,2033,1292,1244,0,0.01833,0.82076,0.16088,15,54,13,2,82,0
91240835,0.454545455,0.76,0,0,0,0,0,0.24,1,3735,35906,478,109909,6910,1,0.01037,0.86602,0.12361,5,119,3332,342,53,0
